cost_bps,strategy,ann_return_gross,ann_return_net,ann_vol,sharpe_gross,sharpe_net,sortino,max_drawdown,calmar,avg_turnover,total_cost_drag,n_rebalances
10,Equal Weight,0.09170943126914666,0.09125915071233393,0.1318662531156719,0.731677558649112,0.7285265946538187,1.0220142782428918,0.27775045363394546,0.3285652625165708,0.03433231226222841,0.00045028055681273216,191
10,60/40,0.08552297161033073,0.08511795162641023,0.09849336380562,0.8826245650793167,0.8788118362437164,1.2528519208679447,0.21989777532470944,0.3870796396221918,0.031056506947337185,0.0004050199839205071,191
10,Minimum Variance,0.06633540070275123,0.06547460545375738,0.0713533531540369,0.9361165587069336,0.9246454513812854,1.3082859669676827,0.18027720368731803,0.3631884903613209,0.06720792613450333,0.0008607952489938508,191
10,Maximum Sharpe,0.07612875305309696,0.07287277867675401,0.09614839938997467,0.8115476197926151,0.7798194635296701,1.0876113931299467,0.24679738099767634,0.2952737115044188,0.25215404198510677,0.0032559743763429516,191
10,Risk Parity,0.08937006249523738,0.08864771680436401,0.10745523712983511,0.8507045943730862,0.8444394909156746,1.1912173260600802,0.22004419163237365,0.40286324372727433,0.05519863578094533,0.0007223456908733716,191
0,Equal Weight,0.09170943126914666,0.09170943126914666,0.13186152943311807,0.731677558649112,0.7316775586491143,1.0265542959193268,0.27771711245301645,0.33022607234785306,0.03433231226222841,0.0,191
0,60/40,0.08552297161033073,0.08552297161033073,0.09849051691373001,0.8826245650793167,0.8826245650793163,1.2584679910324783,0.21968392151889382,0.38930009542357596,0.031056506947337185,0.0,191
0,Minimum Variance,0.06633540070275123,0.06633540070275123,0.07134092902622072,0.9361165587069336,0.9361165587069367,1.3252962993223147,0.1796410805374823,0.36926631984330716,0.06720792613450333,0.0,191
0,Maximum Sharpe,0.07612875305309696,0.07612875305309696,0.09612091615409227,0.8115476197926151,0.811547619792615,1.1337551916122124,0.24373279230900713,0.3123451396584342,0.25215404198510677,0.0,191
0,Risk Parity,0.08937006249523738,0.08937006249523738,0.10744217861702325,0.8507045943730862,0.8507045943730844,1.2003677691500365,0.2200441916323741,0.40614597382578116,0.05519863578094533,0.0,191
25,Equal Weight,0.09170943126914666,0.09058392366420764,0.13187439962484268,0.731677558649112,0.723794748630447,1.0151917119653397,0.2778004654053394,0.32607549282553,0.03433231226222841,0.0011255076049390134,191
25,60/40,0.08552297161033073,0.08451055486491743,0.09849902576430242,0.8826245650793167,0.8730808209438448,1.244397814339345,0.2202184581792851,0.3837578174129045,0.031056506947337185,0.0010124167454133026,191
25,Minimum Variance,0.06633540070275123,0.06418443359819315,0.07137560519778353,0.9361165587069336,0.9074003077769456,1.2827137782882314,0.18123061375042937,0.3541588933014419,0.06720792613450333,0.002150967104558088,191
25,Maximum Sharpe,0.07612875305309696,0.06800488279218198,0.09621210198050831,0.8115476197926151,0.7320901482578274,1.018451544602246,0.251374956247971,0.2705316544146823,0.25215404198510677,0.00812387026091499,191
25,Risk Parity,0.08937006249523738,0.08756470734423738,0.1074780986208096,0.8507045943730862,0.8350192553512794,1.1774427091082738,0.2203754870834338,0.3973432277024782,0.05519863578094533,0.0018053551509999988,191
