strategy,ann_return_gross,ann_return_net,ann_vol,sharpe_gross,sharpe_net,sortino,max_drawdown,calmar,avg_turnover,total_cost_drag,n_rebalances
Equal Weight,0.10536058270735471,0.1049276110897488,0.14038166321215567,0.7841460550790454,0.7813322611162655,1.0975783423047913,0.29898150826715797,0.35095016978772364,0.03260443306564675,0.00043297161760591507,191
60/40,0.0872354188120521,0.08682923498718109,0.09810702094184502,0.9017878472714104,0.897953813078046,1.2802967138312542,0.21594469391620752,0.40209015286512767,0.031096703188553152,0.00040618382487100924,191
Minimum Variance,0.041794669610881297,0.0411967122043555,0.05269600192889657,0.8033644858525193,0.7925117043694376,1.1332914126051878,0.1888000850439222,0.2182028265229412,0.04778082552895124,0.0005979574065257953,191
Maximum Sharpe,0.07223214495764818,0.0679687680598835,0.09778905826764366,0.7623919234271685,0.7214995581978054,1.0067884049484237,0.22830110272390336,0.2977154610684546,0.33150145189278357,0.004263376897764681,191
Risk Parity,0.10636755003250009,0.10547574996040243,0.12910844228881202,0.8479104826418773,0.8415905156430842,1.181780191078773,0.27886508310129676,0.37823218592802005,0.06710001311319325,0.0008918000720976593,191
