strategy,ann_return_gross,ann_return_net,ann_vol,sharpe_gross,sharpe_net,sortino,max_drawdown,calmar,avg_turnover,total_cost_drag,n_rebalances
Equal Weight,0.09170943126914666,0.09125915071233393,0.1318662531156719,0.731677558649112,0.7285265946538187,1.0220142782428918,0.27775045363394546,0.3285652625165708,0.03433231226222841,0.00045028055681273216,191
60/40,0.08552297161033073,0.08511795162641023,0.09849336380562,0.8826245650793167,0.8788118362437164,1.2528519208679447,0.21989777532470944,0.3870796396221918,0.031056506947337185,0.0004050199839205071,191
Minimum Variance,0.06633540070275123,0.06547460545375738,0.0713533531540369,0.9361165587069336,0.9246454513812854,1.3082859669676827,0.18027720368731803,0.3631884903613209,0.06720792613450333,0.0008607952489938508,191
Maximum Sharpe,0.07612875305309696,0.07287277867675401,0.09614839938997467,0.8115476197926151,0.7798194635296701,1.0876113931299467,0.24679738099767634,0.2952737115044188,0.25215404198510677,0.0032559743763429516,191
Risk Parity,0.08937006249523738,0.08864771680436401,0.10745523712983511,0.8507045943730862,0.8444394909156746,1.1912173260600802,0.22004419163237365,0.40286324372727433,0.05519863578094533,0.0007223456908733716,191
