Date,SPY,QQQ,IWM,DIA,XLF,XLE,XLK,XLV,XLU,XLP,EFA,EEM,EWJ,TLT,IEF,GLD,USO,VNQ
2007-01-03,98.86949920654297,37.03889083862305,60.27805709838867,80.82260131835938,20.48430633544922,15.762978553771973,9.059590339660645,23.903804779052734,9.39676570892334,15.639510154724121,41.08803176879883,25.692623138427734,40.56930923461914,48.048377990722656,49.96086502075195,62.279998779296875,395.20001220703125,34.29818344116211
2007-01-04,99.07930755615234,37.74128341674805,60.44001388549805,80.95894622802734,20.417728424072266,15.476022720336914,9.19938850402832,24.174951553344727,9.384008407592773,15.663298606872559,40.97066116333008,25.337820053100586,40.99786376953125,48.339664459228516,50.14216232299805,61.650001525878906,379.1199951171875,34.34265899658203
2007-01-05,98.28902435302734,37.56138229370117,59.17523193359375,80.34857940673828,20.256824493408203,15.579099655151367,9.1256103515625,24.039369583129883,9.215572357177734,15.550275802612305,40.35582733154297,24.59699821472168,39.940773010253906,48.12929916381836,49.97895812988281,60.16999816894531,382.6400146484375,33.70668411254883
2007-01-08,98.7436294555664,37.58710479736328,58.9438591003418,80.60833740234375,20.345598220825195,15.579099655151367,9.152789115905762,24.067913055419922,9.210463523864746,15.57406997680664,40.41172409057617,24.775501251220703,40.16933822631836,48.21559143066406,50.01522445678711,60.47999954223633,379.9200134277344,33.75560760498047
2007-01-09,98.65968322753906,37.775550842285156,59.49912643432617,80.56290435791016,20.312307357788086,15.445377349853516,9.164435386657715,24.039369583129883,9.218118667602539,15.609759330749512,40.45085906982422,24.22212028503418,40.42646789550781,48.21559143066406,50.003173828125,60.849998474121094,378.3999938964844,34.18255615234375
2007-01-10,98.9883804321289,38.22098159790039,59.9619026184082,80.79668426513672,20.378890991210938,15.147279739379883,9.211038589477539,24.082189559936523,9.220673561096191,15.675200462341309,40.14342498779297,24.16633415222168,39.82649612426758,47.99983215332031,49.91856384277344,60.59000015258789,362.8800048828125,34.62284851074219
2007-01-11,99.42196655273438,38.61500930786133,60.332035064697266,81.16029357910156,20.506502151489258,15.060916900634766,9.30423355102539,24.3461971282959,9.230880737304688,15.794170379638672,40.400535583496094,24.472042083740234,39.62651062011719,47.71927261352539,49.78562545776367,60.630001068115234,354.7200012207031,35.07202911376953
2007-01-12,100.1772689819336,38.8120231628418,60.91046142578125,81.5953140258789,20.528690338134766,15.445377349853516,9.327534675598145,24.46036148071289,9.154316902160645,15.77037525177002,40.8588752746582,24.96964454650879,40.14076614379883,47.49808120727539,49.68288040161133,62.16999816894531,357.0400085449219,35.18320846557617
2007-01-16,99.98149871826172,38.78632736206055,60.501708984375,81.62126159667969,20.58417510986328,15.286580085754395,9.308116912841797,24.517446517944336,9.182393074035645,15.78227710723877,40.80856704711914,25.05890655517578,40.28361892700195,47.60060501098633,49.77955627441406,61.970001220703125,346.7200012207031,35.68132400512695
2007-01-17,100.02344512939453,38.46937561035156,60.2394905090332,81.65369415283203,20.528690338134766,15.456531524658203,9.187740325927734,24.660158157348633,9.202808380126953,15.829872131347656,40.8309326171875,24.954023361206055,40.28361892700195,47.45494079589844,49.68288040161133,62.63999938964844,353.760009765625,35.66798400878906
2007-01-18,99.687744140625,37.75840759277344,59.73821258544922,81.49791717529297,20.44546890258789,15.342301368713379,9.08288288116455,24.73151206970215,9.19770622253418,15.806077003479004,40.69118118286133,24.690715789794922,40.25505065917969,47.60060501098633,49.74936294555664,62.2599983215332,345.8399963378906,35.623497009277344
2007-01-19,99.88353729248047,37.835487365722656,59.96957015991211,81.57583618164062,20.506502151489258,15.762978553771973,9.079002380371094,24.73863983154297,9.20025634765625,15.829872131347656,41.18864822387695,25.13475799560547,40.54074478149414,47.47109603881836,49.67082214355469,63.0,355.44000244140625,35.97929000854492
2007-01-22,99.57584381103516,37.424339294433594,59.529991149902344,81.0560531616211,20.489852905273438,15.654330253601074,9.012992858886719,24.588796615600586,9.19770622253418,15.812026977539062,40.98183059692383,25.10576057434082,40.54074478149414,47.58439636230469,49.76145553588867,62.720001220703125,350.7200012207031,35.676883697509766
2007-01-23,99.86959075927734,37.33011245727539,60.09297180175781,81.43295288085938,20.478761672973633,16.061080932617188,9.012992858886719,24.46036148071289,9.251303672790527,15.84175968170166,41.345157623291016,25.677003860473633,40.76930236816406,47.27147674560547,49.616424560546875,64.2300033569336,365.20001220703125,35.84587097167969
2007-01-24,100.67389678955078,37.94686508178711,60.74848937988281,81.91372680664062,20.689598083496094,16.130727767944336,9.176084518432617,24.64589500427246,9.281925201416016,15.901254653930664,41.61344528198242,25.900142669677734,41.3121337890625,47.26609420776367,49.62248992919922,64.33000183105469,368.79998779296875,36.312835693359375
2007-01-25,99.49192810058594,37.45860290527344,59.9849853515625,81.19905853271484,20.389984130859375,15.799189567565918,9.063469886779785,24.560256958007812,9.274267196655273,15.800127983093262,40.93711853027344,25.103530883789062,40.6264533996582,46.92620849609375,49.42911911010742,64.05999755859375,362.1600036621094,36.53520965576172
2007-01-26,99.40100860595703,37.321563720703125,60.20866012573242,81.06907653808594,20.428823471069336,15.838202476501465,9.067355155944824,24.42469024658203,9.251303672790527,15.758482933044434,41.0153694152832,25.257497787475586,40.65502166748047,46.888458251953125,49.42307662963867,64.16999816894531,370.239990234375,36.655296325683594
2007-01-29,99.34507751464844,37.355812072753906,60.733089447021484,81.1015625,20.328956604003906,15.760198593139648,9.106193542480469,24.389019012451172,9.281925201416016,15.800127983093262,41.06010055541992,24.92278480529785,40.79787826538086,46.785945892333984,49.38684844970703,63.77000045776367,359.760009765625,36.775386810302734
2007-01-30,99.86260986328125,37.37294387817383,61.064697265625,81.3224868774414,20.406631469726562,16.080591201782227,9.160553932189941,24.51032066345215,9.309998512268066,15.788227081298828,41.33956527709961,25.30881690979004,41.05500793457031,46.839927673339844,49.4351806640625,64.22000122070312,378.8800048828125,36.95771789550781
2007-01-31,100.53401184082031,37.74984359741211,61.195823669433594,82.02417755126953,20.57308006286621,16.183658599853516,9.214916229248047,24.624492645263672,9.338071823120117,15.853663444519043,41.49607849121094,25.505178451538086,40.88358688354492,47.23372268676758,49.616424560546875,64.83000183105469,385.9200134277344,37.251243591308594
2007-02-01,101.135498046875,37.689876556396484,61.851314544677734,82.34906005859375,20.706247329711914,16.242170333862305,9.176084518432617,24.831418991088867,9.417181968688965,15.913156509399414,41.84261703491211,25.817584991455078,41.42641067504883,47.176841735839844,49.58064651489258,65.22000122070312,382.7200012207031,37.398006439208984
2007-02-02,101.27534484863281,37.82693099975586,61.88991165161133,82.21260070800781,20.745079040527344,16.334104537963867,9.222687721252441,24.78146743774414,9.468220710754395,15.94290542602539,41.758758544921875,25.739482879638672,41.169281005859375,47.23642349243164,49.62314224243164,64.27999877929688,394.7200012207031,37.464725494384766
2007-02-05,101.30330657958984,37.792659759521484,61.882205963134766,82.31010437011719,20.73952293395996,16.317392349243164,9.19938850402832,24.77433204650879,9.570308685302734,15.889357566833496,41.624629974365234,25.764028549194336,40.85502624511719,47.30143737792969,49.67768859863281,64.30999755859375,392.79998779296875,37.464725494384766
2007-02-06,101.33129119873047,37.74128341674805,62.03644943237305,82.29056549072266,20.833850860595703,16.267234802246094,9.187740325927734,24.702974319458008,9.621347427368164,15.865564346313477,41.94881820678711,26.018409729003906,41.19785690307617,47.56142807006836,49.81718444824219,64.79000091552734,393.67999267578125,38.01619338989258
2007-02-07,101.5550537109375,38.083919525146484,62.60715866088867,82.38156127929688,20.911521911621094,16.169734954833984,9.230448722839355,24.73863983154297,9.657079696655273,15.829872131347656,42.06620788574219,25.917991638183594,41.169281005859375,47.702266693115234,49.9263801574707,64.62999725341797,386.0,38.81228256225586
2007-02-08,101.42217254638672,38.075355529785156,62.506900787353516,82.17367553710938,20.844947814941406,16.334104537963867,9.242097854614258,24.71724510192871,9.674944877624512,15.800127983093262,41.898521423339844,25.779647827148438,40.65502166748047,47.740203857421875,49.93851089477539,65.5199966430664,398.0,38.5142936706543
2007-02-09,100.66687774658203,37.58710479736328,61.93614959716797,81.79029846191406,20.62301254272461,16.267234802246094,9.14113998413086,24.64589500427246,9.708121299743652,15.776329040527344,41.71965789794922,25.471704483032227,40.76930236816406,47.469356536865234,49.78687286376953,66.12000274658203,399.9200134277344,38.06956481933594
2007-02-12,100.32416534423828,37.44146728515625,61.76651382446289,81.60187530517578,20.57308006286621,16.041574478149414,9.102306365966797,24.538864135742188,9.672393798828125,15.740639686584473,41.55754852294922,25.297657012939453,40.74073028564453,47.361026763916016,49.720149993896484,65.66999816894531,386.9599914550781,37.38022232055664
2007-02-13,101.17045593261719,37.56998825073242,62.2215461730957,82.277587890625,20.722885131835938,16.27560043334961,9.137252807617188,24.63875961303711,9.756610870361328,15.794170379638672,42.088558197021484,25.699310302734375,41.59783935546875,47.25810623168945,49.68373107910156,65.83999633789062,394.8800048828125,38.10514831542969
2007-02-14,101.83483123779297,38.20382308959961,62.314056396484375,82.82988739013672,20.92262077331543,16.278383255004883,9.265401840209961,24.767183303833008,9.825518608093262,15.889357566833496,42.65867233276367,26.25271224975586,42.28351593017578,47.707740783691406,49.96882247924805,66.37000274658203,387.6000061035156,37.8338508605957
2007-02-15,101.9676742553711,38.42657470703125,62.36034393310547,83.0183334350586,20.955915451049805,16.155797958374023,9.300350189208984,24.881359100341797,9.741296768188477,15.984537124633789,42.708984375,26.268335342407227,42.6263542175293,47.84857940673828,50.047706604003906,66.41000366210938,386.79998779296875,38.11402893066406
2007-02-16,101.91871643066406,38.29806137084961,62.59938430786133,83.03787994384766,20.950366973876953,16.158584594726562,9.280938148498535,24.78146743774414,9.75916576385498,16.008331298828125,42.69221115112305,26.328582763671875,42.5977783203125,48.016483306884766,50.1023063659668,66.36000061035156,394.79998779296875,38.01619338989258
2007-02-20,102.13553619384766,38.58931350708008,63.200950622558594,83.09646606445312,21.061330795288086,15.977500915527344,9.284818649291992,24.79573631286621,9.784682273864746,16.091611862182617,42.75370407104492,26.397762298583984,42.454933166503906,48.124847412109375,50.1629524230957,65.30999755859375,389.3599853515625,38.309722900390625
2007-02-21,102.09361267089844,38.709232330322266,63.31666564941406,82.90767669677734,20.97256088256836,16.153017044067383,9.269282341003418,24.681568145751953,9.743853569030762,16.002384185791016,42.53569030761719,26.47585678100586,42.483497619628906,48.0435676574707,50.156898498535156,67.3499984741211,398.8800048828125,38.1851921081543
2007-02-22,102.01664733886719,38.906246185302734,63.54029083251953,82.53014373779297,20.88932228088379,16.297883987426758,9.319768905639648,24.64589500427246,9.756610870361328,15.94290542602539,42.72574234008789,26.40891456604004,42.5977783203125,47.78356170654297,50.02949523925781,67.1500015258789,402.6400146484375,37.980613708496094
